front,back,source,tags
Maratonei,"""I binge-watched"" (from ""maratona"")",Dialogue 41 — Conversa sobre séries,level-b1 dialogue-41
Dar uma chance,"""give it a chance""",Dialogue 41 — Conversa sobre séries,level-b1 dialogue-41
Legenda,"""subtitles""",Dialogue 41 — Conversa sobre séries,level-b1 dialogue-41
Viciante,"""addictive""",Dialogue 41 — Conversa sobre séries,level-b1 dialogue-41
Passando mal,"""feeling very sick""",Dialogue 42 — Emergência médica,level-b2 dialogue-42
Dor no peito,"""chest pain""",Dialogue 42 — Emergência médica,level-b2 dialogue-42
Falta de ar,"""shortness of breath""",Dialogue 42 — Emergência médica,level-b2 dialogue-42
Pressão alta,"""high blood pressure""",Dialogue 42 — Emergência médica,level-b2 dialogue-42
Cadeira de rodas,"""wheelchair""",Dialogue 42 — Emergência médica,level-b2 dialogue-42
Eletro,"short for ""eletrocardiograma"" (ECG)",Dialogue 42 — Emergência médica,level-b2 dialogue-42
Assim que tiver novidade,"""as soon as there's an update""",Dialogue 42 — Emergência médica,level-b2 dialogue-42
Movimentado,"""busy"" (for work/traffic)",Dialogue 43 — Conversa no Uber,level-b1 dialogue-43
Corridas,"""rides"" (Uber term)",Dialogue 43 — Conversa no Uber,level-b1 dialogue-43
Tá rendendo,"""it's been profitable""",Dialogue 43 — Conversa no Uber,level-b1 dialogue-43
Folgar,"""take a day off""",Dialogue 43 — Conversa no Uber,level-b1 dialogue-43
Compensa,"""is it worth it"" / ""does it pay off""",Dialogue 43 — Conversa no Uber,level-b1 dialogue-43
Dá pra tirar,"""you can make"" (earn)",Dialogue 43 — Conversa no Uber,level-b1 dialogue-43
Cinco estrelas,"""five stars"" (rating)",Dialogue 43 — Conversa no Uber,level-b1 dialogue-43
Sensação térmica,"""heat index"" / ""feels like""",Dialogue 44 — Reclamando do calor,level-b1 dialogue-44
Tô derretendo,"""I'm melting""",Dialogue 44 — Reclamando do calor,level-b1 dialogue-44
Pifou,"""broke down"" / ""stopped working"" (informal)",Dialogue 44 — Reclamando do calor,level-b1 dialogue-44
Ir embora,"""leave"" / ""go home""",Dialogue 44 — Reclamando do calor,level-b1 dialogue-44
Saudade,"""missing/longing"" (untranslatable Portuguese word)",Dialogue 44 — Reclamando do calor,level-b1 dialogue-44
Nem me fala,"""don't even get me started""",Dialogue 44 — Reclamando do calor,level-b1 dialogue-44
Bem-vindo ao verão brasileiro,"""welcome to Brazilian summer""",Dialogue 44 — Reclamando do calor,level-b1 dialogue-44
Tá saindo,"""is going for"" (price)",Dialogue 45 — Comprando passagem de avião,level-b1 dialogue-45
Bagagem despachada,"""checked luggage""",Dialogue 45 — Comprando passagem de avião,level-b1 dialogue-45
Embarcar,"""to board/depart""",Dialogue 45 — Comprando passagem de avião,level-b1 dialogue-45
Quarta de cinzas,"""Ash Wednesday""",Dialogue 45 — Comprando passagem de avião,level-b1 dialogue-45
Trave o preço,"""lock the price""",Dialogue 45 — Comprando passagem de avião,level-b1 dialogue-45
Antes que aumente,"""before it goes up""",Dialogue 45 — Comprando passagem de avião,level-b1 dialogue-45
Academia,"""gym"" (Brazilian term)",Dialogue 46 — Conversa sobre exercício,level-b1 dialogue-46
Tô destruído,"""I'm destroyed/wrecked""",Dialogue 46 — Conversa sobre exercício,level-b1 dialogue-46
O corpo estranha,"""the body finds it strange"" (adjustment)",Dialogue 46 — Conversa sobre exercício,level-b1 dialogue-46
Leg press,used as-is (gym anglicism),Dialogue 46 — Conversa sobre exercício,level-b1 dialogue-46
DOMS,Delayed Onset Muscle Soreness,Dialogue 46 — Conversa sobre exercício,level-b1 dialogue-46
Parar de vez,"""stop for good""",Dialogue 46 — Conversa sobre exercício,level-b1 dialogue-46
Confiar no processo,"""trust the process""",Dialogue 46 — Conversa sobre exercício,level-b1 dialogue-46
Faz tempo que,"""it's been a while since""",Dialogue 47 — Ligação pra mãe,level-b1 dialogue-47
Corrido,"""hectic"" / ""busy/rushed""",Dialogue 47 — Ligação pra mãe,level-b1 dialogue-47
Comendo direito,"""eating properly""",Dialogue 47 — Ligação pra mãe,level-b1 dialogue-47
Manda um beijo,"""sends a kiss"" (common)",Dialogue 47 — Ligação pra mãe,level-b1 dialogue-47
Promessa é dívida,"""a promise is a debt"" (idiom: you must keep it)",Dialogue 47 — Ligação pra mãe,level-b1 dialogue-47
Bolo de fubá,cornmeal cake (traditional Minas Gerais dessert),Dialogue 47 — Ligação pra mãe,level-b1 dialogue-47
Se cuida,"""take care of yourself""",Dialogue 47 — Ligação pra mãe,level-b1 dialogue-47
Cartão de embarque,"""boarding pass""",Dialogue 48 — Problema no voo,level-b2 dialogue-48
Condições meteorológicas,"""weather conditions""",Dialogue 48 — Problema no voo,level-b2 dialogue-48
Realocar,"""rebook""",Dialogue 48 — Problema no voo,level-b2 dialogue-48
Voucher,used as-is in PT-BR,Dialogue 48 — Problema no voo,level-b2 dialogue-48
Reembolso integral,"""full refund""",Dialogue 48 — Problema no voo,level-b2 dialogue-48
Reacomodação,"""rebooking/rerouting""",Dialogue 48 — Problema no voo,level-b2 dialogue-48
Dias úteis,"""business days""",Dialogue 48 — Problema no voo,level-b2 dialogue-48
Mala despachada,"""checked luggage""",Dialogue 48 — Problema no voo,level-b2 dialogue-48
Prefeito,"""mayor""",Dialogue 49 — Conversa sobre política,level-b2 dialogue-49
Nada concreto,"""nothing concrete""",Dialogue 49 — Conversa sobre política,level-b2 dialogue-49
Cobra,"""hold accountable"" / ""demand""",Dialogue 49 — Conversa sobre política,level-b2 dialogue-49
Menos pior,"""least bad"" (lesser evil)",Dialogue 49 — Conversa sobre política,level-b2 dialogue-49
Se envolver,"""get involved""",Dialogue 49 — Conversa sobre política,level-b2 dialogue-49
Audiência pública,"""public hearing""",Dialogue 49 — Conversa sobre política,level-b2 dialogue-49
Vereador,"""city council member""",Dialogue 49 — Conversa sobre política,level-b2 dialogue-49
Reclamar sem agir,"""complain without acting""",Dialogue 49 — Conversa sobre política,level-b2 dialogue-49
Vai deixar saudade,"""you'll be missed"" (saudade in action)",Dialogue 50 — Despedida do amigo que vai embora,level-b2 dialogue-50
Coração apertado,"""heavy heart"" (literally ""tight heart"")",Dialogue 50 — Despedida do amigo que vai embora,level-b2 dialogue-50
Se conheceu,"""met each other""",Dialogue 50 — Despedida do amigo que vai embora,level-b2 dialogue-50
"Para, vai","""stop it, come on"" (emotional, trying not to cry)",Dialogue 50 — Despedida do amigo que vai embora,level-b2 dialogue-50
Arrasa,"""kill it"" / ""crush it"" (informal encouragement)",Dialogue 50 — Despedida do amigo que vai embora,level-b2 dialogue-50
Um brinde,"""a toast""",Dialogue 50 — Despedida do amigo que vai embora,level-b2 dialogue-50
Conquistar o mundo,"""conquer the world""",Dialogue 50 — Despedida do amigo que vai embora,level-b2 dialogue-50
Levar no coração,"""carry in my heart""",Dialogue 50 — Despedida do amigo que vai embora,level-b2 dialogue-50
